data,label_vector
"[0.3228865125436475, 0.12933356829657205, -0.5421426304894578, -0.2088782634190243, -0.27421954401299553, -0.26857327608832426, 0.7335146597154921, -0.18205233475217947, 1.936212482794839, 2.4257927455885375, -0.6255746270620037, 1.2016875399207279, 0.26916116874032836, 0.5978950306470544, 0.2958988583732617, -0.8721430204809981, 0.27577739804167756, 0.4964686689373702, 1.1881064859620007, -1.0442783554191655, -0.522933140419461, 0.7593457262890111, -0.35365535674812554, -0.0996315936020172, 1.0823437440488395, -1.9263741707024642, -0.8117291452787765, 1.2226384201459555, -0.828887100657789, -1.932690113310373, 1.8707159111082905, 1.3405059716454784, 0.8231663570898935, 0.4037415751811072, 0.49456520864723447, -0.01332190148216246, 0.8883446736814871, -1.6346133030177332, 0.49332328543062787, -1.5348111880683575, 0.2215766078595113, -0.4036460962808052, -0.21306878098427917, -0.9859052017283686, -1.064631798046686, -1.7909766714363136, -0.9038899935402289, 2.397199268410215, -0.8433764807248182, -0.023500812497079467, 1.8858235901494915, -0.42177131360164327, 0.2816587805699121, 0.9938920696481592, -1.5749384897889436, -0.48520622196702023, -0.6209491260240108, 0.24110867619320805, -0.8982056148464671, -0.05068034880957668, 0.45966053570983506, -0.7066796608951199, -1.1135437729587452, -0.5146710807306916, 0.0012020885225170416, -0.5439946382161586, -0.16552993020381193, 1.3004746386777333, -1.535551719938679, -1.7765492566214856, 0.754210047014714, -0.7444411033982391, 0.6355437886718589, -0.03680711370716487, 1.0811322478846188, -0.5509583591307472, 1.6869910224713347, -0.6755392957278348, -0.019566370012214986, -0.36763887952181734, -0.8386094070157595, -1.3984707973020218, 1.1817103421575808, 0.9111299709615944, 1.4274540801263988, 0.057255965096387446, -1.6692598903384948, 0.23631656858212802, 0.7680404371796428, -0.05136294330833684, -0.908840027778983, 1.445900394376057, -0.36257987225569643, -0.83627102907991, 1.5924421710272125, 0.5580791683106813, 1.184457397984701, -0.5513047070214936, 0.7787132391359757, -0.2008964593438913]","[0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 2, 2, 1, 1, 0, 1, 2, 0, 1, 0, 2, 0, 2, 0, 1, 0, 0, 2, 2, 2, 0, 0, 1, 2, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 0, 2, 2, 2, 0, 2, 2, 1, 2, 1, 2, 0, 0, 0, 0, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 2, 1, 2, 0, 2, 2, 1, 2, 0, 1, 2, 1, 2, 2, 1, 0, 2, 0, 0, 2, 0]"
"[0.8559762037475315, 0.07373117756670701, -0.33722197377536894, 0.19630928364378297, 0.4785280976551332, -0.43166737934983324, -2.1463833194492414, -2.083614243081617, -2.062817569653612, -0.3732267097953786, 1.8539514556655132, -0.14727851503128292, 0.1603385273422013, 0.4628102517458252, 1.3077674729603754, 0.1466059700224746, 0.15618248634557222, -1.7857519833898476, -2.0844228743656648, 1.4658506153699242, 2.4110615827536197, -0.6158173988786535, -0.5788250038394485, -0.5738124550357552, -0.023877815256802326, 0.8298089092418139, 0.3863661714326561, 0.5135009143359158, -1.6117258972514845, 0.2604470270168601, 1.3016293005330568, -0.3468614759960647, 1.3317167760619781, 0.4135169679338789, 0.9515097204677953, -0.4123267403404867, 1.1272149916867804, 0.005760683528023083, -0.060844194456059805, -0.43845548915602145, -0.05998918283120433, -1.898396920036576, -1.5095934572670433, 2.9257113230526093, 0.628065712025642, -0.19043004176569803, 0.5366105892437338, -1.3001560870463507, -0.3919595982428117, -1.0970190393848671, 0.26391168592178427, 1.186793267053101, 1.9742030044112702, 1.7197178796541708, 0.9299415977338832, -0.9394482403000827, 1.412912768216006, 1.9011486270576703, -0.8355228670657703, 0.4895743320562402, 0.4847262900142788, 0.21521714693283114, 0.7780106794750342, 0.5784701177697286, 2.7898108531693544, -0.541585001406094, -0.3243927039961207, 0.273819810709326, -0.2919426666884511, 0.7390189374407198, -1.169628402271693, -0.38223189756298004, -1.517248099506113, 0.3007107596761151, 0.5557772092277974, -1.0702553830574604, 0.3498318905231725, 0.15207071230506106, -1.4295376590823108, 0.609637502323515, 0.07429297094065643, 1.5099206292843692, 1.2527807665336923, -0.7994170137955752, -1.113083977964601, 0.5562781035557732, 2.0271595728088627, 1.0845602123868725, -1.2069685488258464, 0.22784351082031593, -1.867250069503677, 0.4692616312963095, 0.6876534140781823, -0.4447411490754569, 0.37351097943770806, -0.6047210051138671, -0.37702650565331003, -0.882612093249497, 0.7632311472765961, -0.7821589954167919]","[0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 2, 2, 2, 1, 2, 0, 2, 0, 2, 2, 0, 2, 2, 0, 2, 1, 1, 1, 2, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 2, 1, 0, 2, 1, 0, 1, 2, 2, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0, 2, 2, 2, 0, 2, 0, 1, 2, 1, 1]"
"[0.6906818976155191, 0.06472085669795845, 0.08614634968667716, -0.10156785557156234, 1.0961179708837037, 0.609633311109501, 0.45865244074441064, -1.8662725206248345, 0.6599467524918001, -1.805833146159098, -0.43326915361322715, -0.24986140444567725, 0.6532526781341002, 0.20695836358009764, 1.7447383386418378, 0.6962419406312028, -1.044489979840651, -0.69894765545663, -0.9348513658314462, -0.8215467853501474, -1.3528865437642563, 0.31188400648549175, -0.6082610139223443, -0.6452918101808677, 0.8605852389307246, 0.6098192102339209, 1.544162054128028, -0.47523807427102693, -0.039333242572929666, 0.9072836148262624, -1.1916572929184277, -0.7727307559178009, -1.0021225206725985, 1.2196452605605694, -0.45775604075961024, 0.9765039088683514, -0.15396980462446522, -0.31787529842617174, 0.2408680356841418, 1.2466742119993142, 1.202895865271282, -0.20627795972473822, -0.14471820809232108, 0.02591164811982641, 0.5729434586838269, 1.101500024732756, 1.1373553620175092, -1.8037087017670361, 0.8860038934889529, 0.11628338790100863, 0.37407455800528705, 0.7119765627792075, 0.08337465082635384, 1.8341776732751662, 0.3375738209549395, -1.9010020421412328, 0.7421981189846989, 0.4485358375540297, 0.36039424446266577, 1.0978502895367352, 0.6313247751784176, -0.9813433092984388, 0.6211051034456488, -2.2054919107903377, -0.29916319248565176, -0.0492264370735181, -0.8135842348598933, 1.2300462326353259, -1.1135059862917247, 1.3393246765391524, -0.0574962703716782, -2.2006878259298763, -0.5751574160816593, -0.3809830230897704, 0.14413228502530434, -0.7752409602014576, -0.07188177622148414, 0.6880614275552225, 1.0234646755051235, -0.41450083888708716, 0.8823539398497082, -0.7340669004234371, -2.0888163163382716, 0.8247962529354926, -1.5751729412994144, -1.3231290766366162, -0.007269456365784956, -0.11488496934024857, -0.06628562199213318, -0.7597237321717388, -0.6143651823121337, 0.7410615199363215, 0.6777402056085968, 0.29777661681133705, -0.1882697021968102, -1.0986122563623824, -0.12234247711795464, -0.22942691033552845, -0.7219821650507849, -0.9869905260785596]","[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 2, 2, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 1, 2, 2, 0, 1, 2, 1, 2, 2, 1, 0, 2, 2, 0, 2, 1, 2, 0, 1, 0, 2, 2, 0, 2, 2, 0, 0, 2, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 2, 2, 0, 0, 2, 1, 0, 2, 2, 2, 0, 1, 1, 2, 1, 2, 1, 2, 0, 2, 1, 2, 1, 2, 2, 1, 0, 0]"
"[-1.2354666189205792, 0.08832862082689259, 1.2750489540972594, 0.6195926633628571, 0.6035739686649448, 1.680514469518733, 0.12901877506881324, 1.136823728710004, -1.227678260008506, -0.1150780366947505, 0.286307896113352, 0.13493056221811417, -0.19665678060182926, 0.9471779292277022, -1.0750546682310016, -0.16436732452791888, -1.479675379626156, -0.8900094912395236, 1.4791222737312366, 0.5441745340822401, 2.7077485863700557, 0.5202124417954967, 0.36497089755775913, 1.0562960116277114, 0.522219525718574, -1.0263999456392665, 1.1565965277567805, 0.34871070902779144, -0.2922885294640057, -0.5263045337512727, 0.01322301803361566, 0.6735731652835704, 2.718108653901178, -0.8026444278923895, -0.13216615765243972, -0.6086595294295669, -0.49069504903114824, -0.45924578737198624, -0.5414802133857898, 0.513359465619006, -0.547859355709163, 1.6620662082838857, 1.269501462377874, 0.7879961528773668, 1.555178665955807, 1.9556603296173032, 0.4982577275559871, 0.15151709712232383, -0.7697567991398248, 0.9365447343442947, -1.4239860214237143, 0.44865718323037257, -0.25776861034293164, -0.08281691501886042, -1.0984808498554193, -1.034745009156139, 0.7416346936538208, -1.3080032458334176, -1.0915478542962846, 1.2195060161354077, 0.9309432276804107, -0.43743863214677786, -0.2762024130480311, 0.7535437443115064, 1.305648952545515, 0.22788246389589564, 0.467555544061221, 0.811164980295247, -0.07447075177853218, 0.4658843238812638, -0.5070376342594747, 0.7442029549647521, -0.11726513444528494, -1.0251279181593307, -0.4714326686673056, 1.4767730211438845, -0.5700178792870988, -0.20680100734231138, -2.374398790418896, -0.0907341098544716, 2.9151220982348454, 0.44292086434862854, 0.5049596036012342, 0.42269270678144616, -0.2679452675181622, -1.3243326858387394, 0.17298910734291212, 1.754579971365332, -1.4692206364017295, 0.5501693711262006, 2.2347533455605038, 0.38331931604880315, 0.4110975143227996, -0.041386337868416105, -0.5557658558798484, -2.195214762902556, -0.19283404718240035, 1.7168226224199334, 2.0645308762815917, 0.9638459676621777]","[2, 1, 0, 2, 2, 0, 0, 2, 1, 0, 2, 1, 1, 0, 2, 2, 2, 1, 0, 2, 0, 0, 2, 2, 2, 2, 1, 0, 0, 1, 1, 0, 1, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1, 0, 2, 0, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 0, 2, 1, 1, 0, 1, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 1, 2, 1, 2, 2, 0, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0, 2, 0, 1, 2, 0, 2, 1, 1]"
"[-0.6921780145764592, -0.7181123396920693, -0.33602584830494475, -0.32276553247247425, 1.1574054171327224, 1.3682319526841658, 1.9273966438078751, -0.649083928326897, -0.23285708956754392, -1.908326710780366, -0.5672868812029876, -1.062300367580435, -0.8651442243109423, -0.26232545971278726, -0.04318852078199429, -0.44822673182506456, -1.3495770290500322, 1.4791180339954595, -0.348948700408843, 0.2911084196045017, -1.8939239772566028, 0.6963378721662914, -0.8349079785506661, 0.8573015910431744, 0.3297834638012096, 2.2596526312888363, 0.37898826517548206, -0.017317708211114183, -0.015835994622119532, -0.7319837825416482, 0.6843693156297507, -1.5878023529461056, -0.5743917905310073, -1.4005152469158306, -0.3827508105986158, 1.0830824276538056, 0.0447240222536053, -0.3014702992162512, -0.8602408314437936, 0.23778687268010704, 0.7555405219380634, -1.1024604077233828, 0.07364045906743165, -0.663547230084194, 0.1733088650375621, 0.5774078677107731, -0.17433794539237008, -0.4996929405524611, -1.494722174022969, 0.1334831541922294, 0.26068572222916825, 1.1112937762144348, 0.291193695471162, 0.41780121488342614, 0.11084193091263317, -0.8103025806616287, 0.9430951777800929, -0.44903264076757454, -1.4131873061420805, 0.9195165867488244, 1.0951548094240886, -1.1705743491458562, -0.9652797633023433, 0.9913180392843517, 0.013555295752774917, 0.6667188548729506, 1.5961609493607192, -0.5319154440270644, 0.9098693605839446, 0.7494967060773339, -0.43778085197371813, -0.3998000768875206, 0.7954193266652952, -0.04255981457000871, 1.0484372905945576, -0.08256486336277602, 1.5484239801515405, -0.3927900829187832, 0.11261455494868695, -1.3733876120270498, -0.13126533769787993, -0.2829332289903958, -0.12006659549973867, 1.1424556841465823, -1.0007818229924956, 0.33252632198369825, -0.4317484596399936, 1.7047173281590768, 0.4917021843879405, 1.0060341503733352, 1.9238485274044999, 0.20219473856648826, -1.9848564530729302, 0.18064373551944296, 0.15310436800991825, 1.6329166980451777, 1.5239541640411416, 0.7300884674178388, -0.14892632916476553, -1.1496893966519284]","[2, 2, 1, 0, 1, 2, 1, 0, 2, 0, 2, 1, 1, 2, 0, 0, 0, 2, 0, 1, 0, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 0, 0, 2, 1, 2, 0, 2, 0, 2, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 1, 1, 2, 0, 0, 0, 2, 1, 0, 2, 0, 2, 1, 2, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 2, 2, 1, 0, 1, 0, 1, 1, 1, 1]"
"[0.1499062810067715, -0.8262337723206211, -0.42920601244125245, 0.6267847256116313, 0.11206776161434355, 2.008135002291203, 0.7311753787336858, -0.5153468441650322, 1.295915816680751, -1.905815115748365, 0.8847310936780336, -0.40012653585559027, -0.48420067646903886, 0.4966856499558803, 0.29618268383164337, -0.5919874818839996, 1.2436495250538246, 0.10957264909661714, -1.6379199219782299, -0.7625017803662525, 0.3560607017588433, -0.7106723749517796, -0.6086669654256674, -0.4045340145836441, 0.24739721826194055, -1.040076656050421, -0.44802287720997813, -0.9854321158564415, -0.0575399271889828, -1.4581403279490823, 0.5083970471702787, 0.635591144285875, -0.034644277198507996, 0.6147682247537262, -1.1488788842396944, 0.34510652672063896, -0.4868435894285636, 0.7093536722331898, -1.6193127623258725, -0.05775015633240112, -1.875273501478107, 0.0698575792409984, 1.392628114751235, -0.098171365545754, 0.008605522569989617, 0.7407621999597199, 1.6115185640167364, -0.9791324665482813, -0.025965897587345188, 0.038021644345607224, -0.2030170854568522, -2.460603209586418, -0.08131748810378384, 1.6774427772351594, 2.004737481086723, 0.5170940138721755, 0.9538155570963007, -0.6357364249689219, 1.988381097227407, -0.7165004182980794, -2.4811901946981134, -0.735323923697003, 0.7270193347321153, -0.7418990061720282, 0.2154898964599673, -0.8172780052738067, -0.7222016285806356, 1.0689002542032418, -0.6307867274142667, 0.7657743528616182, -0.9586403360525927, -0.30452024938694433, -1.564560225919993, -1.6634675253658489, -1.0714388807689696, -0.36746770519737226, 1.22567463474247, -0.7769427507249467, -0.6181393571119046, -2.579416629967949, 0.13399583830544276, 1.413622309899265, 1.2620981298836185, -0.6988380807219065, -1.24707184757663, 0.4883696357418938, -1.105479030295858, 0.4115959958853301, -0.57681962608416, 0.865804593457273, 1.9429049216771328, -0.4991460714857639, -0.3401982225510825, -0.38685738910522294, -0.8591602392050783, -1.0828062934929006, 0.26183867886219253, -0.312498999494479, 0.2736700048181498, -0.026506919256189244]","[0, 1, 1, 1, 0, 2, 1, 2, 0, 1, 0, 0, 0, 2, 1, 2, 2, 2, 0, 1, 0, 2, 1, 1, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 2, 0, 1, 2, 1, 0, 1, 2, 0, 0, 2, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 1, 0, 2, 0, 2, 2, 1, 2, 0, 0, 1, 2, 0, 2, 0, 1, 0, 2, 2, 0, 1, 1, 0, 1, 2, 0, 0, 0, 2, 2, 1, 0, 1, 2, 1, 2, 2, 0, 0]"
"[-0.00883159294157039, 0.03757357002245239, 0.07112080247020891, -0.5034338135659955, 1.0789156516603036, -1.3912032325645063, -0.8386637623971085, 0.04757829479458455, -1.575623195983763, 1.7815224722096683, 0.15138066985864168, 0.8369153168993776, 0.8730434441642746, -0.49275892229699714, -0.39588224522903626, 0.3592827908767879, -1.246335547161201, -0.010026749198480095, -0.027054234675918012, -2.7712444373039267, 0.6578129391020486, -0.864457269321693, 1.2134036841489315, 0.015580648557617191, -0.7002330167267062, 0.18549354445030233, 1.07963749253759, -0.7283147517512649, -0.16865497760481574, 0.942016576883363, -1.6341712225765626, 0.7032415743880476, 0.633545704955379, 0.1283007438885409, -0.2662407717808149, -0.9013712969746842, -1.0182444821011902, 0.26038921188690445, 0.2525772361643248, 1.5061902204926265, -1.0880149281048717, 1.5258096226566367, -1.5336199183890988, 1.4423019668937211, -0.2670558247198636, 1.1037369700504895, 0.3933987276141749, -1.4970022941902505, 0.6175103281560761, -0.8558056741726637, 0.20588443221058744, 1.0307103052882975, 0.7692772117730511, -0.9354276307706619, -1.4980391979405399, 0.42703096630617987, -0.6614322815871867, 1.4115201313333812, -0.37844364967784405, 2.232934471633983, -0.34156824611260544, 0.1749765125311565, 0.8461412182327259, -2.3201117319936744, 0.5093797215851661, 0.8897654914512442, -0.461168241702019, 1.1419957694816487, -0.21287002728626686, -0.9320771600673579, 1.9121354902254861, 1.6804160514636988, -1.9290021394139811, 1.5069706466267114, 0.43509084709620943, 1.5400270273226109, 1.503945969191221, -1.3691839161329717, -0.1734185209046745, -0.07937877646981459, -0.050998272677903536, 0.5262020423554534, -2.2824725333682014, 0.6275966263293918, 1.0578149629778346, 0.8166031890101759, 2.1098422302616964, 0.5389292605592201, -0.9993461231038048, -1.3924748535611546, 0.606235531845455, -0.6761107293859544, -0.931667407006364, -0.7112834951151012, -0.3588041417735976, 0.8103989780250016, 0.9036366134712297, -0.2524608170922599, 1.1322322736023822, -0.7186669472420368]","[1, 0, 2, 2, 2, 2, 1, 2, 2, 1, 0, 0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 2, 1, 2, 0, 1, 0, 2, 2, 2, 2, 2, 1, 1, 0, 2, 0, 2, 1, 1, 2, 0, 2, 0, 2, 0, 0, 2, 0, 2, 2, 1, 1, 0, 2, 2, 2, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2]"
"[-0.48351056689565425, -0.46920740372134745, -0.29010444010394815, -0.7573384754038153, 0.06909625397972867, -0.6511333840177428, 0.8861024711072297, -0.5926645807543635, 0.007568826026555264, -0.14323420810566634, 0.9847489345127081, 0.5817348274196732, 0.5596356270300481, 0.7347819740074496, -1.0579287331862823, -0.017289358150154272, 0.40181954682533844, 0.21308902679449993, 0.7357568753667701, 1.4626412564155231, 1.4783094813595588, -1.3503908470117836, 1.470168369426581, 0.08936770217792861, 1.2223940601332037, -0.24874456987022944, -0.7331247153848792, 0.35608069136348586, -0.780952602427615, 1.872325733194473, 1.8710502189016922, 0.8476710701574564, 1.7875234252448748, 0.634340019778583, 1.306878320387717, -0.9252289034126352, -0.9108930067857921, -0.13840572316104904, 0.8968045255403332, 1.4857709585554255, -2.2205487164446023, 0.07164297210443575, 0.2860297261396478, 0.1329703431178367, -1.3533182726486082, 1.7988229268325973, 1.4008371062787899, 2.3994056599275155, 0.6474288834107434, 0.4051530343841757, -0.4914582037239863, -3.447212677660778, -0.9006029228753832, 0.6119805614122628, -0.5194614382319696, 0.20532324553141906, -0.9300310971199879, 1.6431582360359653, 0.480633904388582, -0.14193749192060573, 2.214753492971101, -1.2955399470961804, 2.0994835522983055, 1.1418825957386987, -0.12482032940288318, 0.8326044376065521, 0.8126713235911285, 0.10942485100164828, 0.752193926587518, -0.7804954402158368, -1.6863168421011046, 0.6028849835590331, 1.0989788354464083, 0.06443148303863268, -1.6570766512320028, 0.2606590293105597, -0.3393257822780501, 0.13592303357666236, 0.6388625854021375, -0.5582829453376016, -0.13551448471935013, -0.37259786423236546, 0.5368612717022615, 1.1461999725943566, -0.5274107140836064, 0.4548910895650996, -2.0135565712981602, 0.006391983744194947, 1.225858748620836, 1.1103570828733322, 0.7344958717052328, 0.23429740899767296, 0.29238533047383525, 0.7301036808321641, -0.29252586101525074, 0.6881296537015256, 0.8263815000192605, -0.7056613174680313, -0.5345168487963385, 1.5532355325733898]","[0, 2, 0, 2, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2, 2, 1, 2, 1, 1, 1, 0, 0, 2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 0, 2, 2, 1, 0, 0, 0, 1, 2, 1, 1, 1, 2, 1, 0, 2, 2, 2, 1, 1, 1, 0, 2, 1, 1, 1, 2, 1, 0, 0, 1, 0, 1, 0, 0, 2, 2, 1, 0, 1, 2, 2, 0, 2, 2]"
"[-0.731603114442973, -0.3960717356868047, 1.3015769463830174, 0.41727752715648075, -0.8012859117774388, -1.2332758384407643, 0.10043573011368453, -0.4827799056745556, -1.030764918204976, 0.6090615707691382, 1.2649909198228149, 0.5641806195917899, -1.0823710346278024, -1.6447249110387632, 0.12748970072179475, 0.9727762722169266, 0.13258635784564182, 0.3702394794274225, -0.25983394773859725, -0.14562821979207852, 0.8308706607782499, -0.5206152239740827, 0.4566265538535898, 1.4941360778295805, -0.399023914085495, -0.3235455276210826, 0.9322767167795017, 0.752946323348929, -0.8652245508360755, 1.4054044041821827, -0.15155246422509744, 0.6479977435966005, 0.16139720597042045, 0.6305298303843516, 1.3700680314043947, -0.2819983071214145, 0.14405836225237784, -0.5429438936274319, -0.6434918512853515, 0.8338997305415277, -0.7606563400930325, 0.1335475745809769, 0.4159290130233807, -1.6677500678313755, -0.3213877192190098, 0.3713379396728034, -0.10504842192192292, -1.2833349030940793, -1.4968059922247987, 1.787954347209739, -2.28291016038668, -0.40906413618960125, 1.170028426022783, -2.1076851074018994, 0.45772755590461667, 0.8077416167947127, 0.5817331621302189, 0.803102071468406, 1.413453972297169, -0.07267838583756693, -0.20604782220723616, 0.04936097926703602, -0.2370190593931441, -0.4565750385259277, 0.6957345370665377, -0.6089853908977871, -0.6184968539781194, 0.9540051370054732, -1.5644288237855448, -0.8133532312285289, -0.5265437665581004, -2.3586741727083314, -0.7518424461962773, -0.237998889352774, 0.3930227175858866, -0.13942566071893497, 0.8871028087091922, -0.2653918211443789, 0.21266067386631812, -1.414849343229504, 1.400490842015418, -0.71647837730575, -0.3256785132319252, -2.0760909551759266, 1.3377248214829276, 0.7125554234272039, 1.2532580688134107, 0.2592809862168203, 0.6037795091521551, 1.2878773030461403, 0.32319782665048724, 1.6974872660535063, -0.519417782110642, 0.4735839961931067, 1.3334763837820909, 0.059101539235801255, 0.5500934466036922, -0.23331417515203834, -0.9640958316772558, -0.2925454828031917]","[1, 2, 1, 1, 2, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 2, 2, 1, 2, 0, 2, 1, 0, 1, 2, 1, 0, 2, 2, 1, 0, 2, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 0, 0, 2, 2, 1, 0, 0, 0, 1, 2, 0, 2, 0, 0, 2, 0, 1, 1, 2, 2, 0, 2, 0, 2, 2, 2, 0, 2, 1, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 2, 0, 2, 2, 1, 0, 2, 0]"
"[-2.6621930751546747, -0.3416595884238248, -0.41628722330260604, -0.7541923588785677, -0.9528475149300168, 0.409275291752592, 0.28605778353097, 1.4811349858508351, 0.04271669046778575, 0.18804533110335617, -0.3090497903608142, -0.7193027950405662, -1.4230174464056784, -0.23174647023031042, 0.054110142664935246, -0.12316834457231535, -0.9772804452296485, 0.9319404349878747, -2.5475502527052862, -0.10409573753162209, 0.10391749650950824, -0.6451020062277292, 1.7182195988661753, 0.6354690900932615, 0.8945412691603742, 0.09952585675553777, 0.4992092278972653, -0.09058506796962745, -1.088762118375623, -1.0646189085176383, 0.2769131378359793, 0.4384317137980712, -0.7459203813371061, -0.27226963478855554, 0.29974923748274107, 1.1581426224720754, 0.6535629659908313, -1.607106737846642, 0.1786581899602609, -1.0654428290269953, 0.0022983327204102893, 0.25784685557967735, -1.1975360188036779, -0.37735372225731806, 0.08349499941854481, -1.7639821792058776, 1.0593788887309672, -0.22804330469064182, 1.304404708535311, -2.212811077786018, 1.5240666871062287, 0.3414454680481168, 0.4081888397225806, 0.975710562152659, -0.9371126547040955, 2.823726340970722, 0.32114257856183237, 1.8370680985809553, 2.5391732657241715, 0.31347667880761443, 0.72776840276936, 0.3684206251778715, 0.7679939488744769, -0.08807605253845073, 1.9860480264462907, -0.7673424433515931, -1.7015374631573221, -0.18584130981241914, -1.127966986672161, 1.893326684918647, 0.4717595776666542, 0.5335586339647025, 0.5547364778455015, -0.9018057072954558, -2.227046511141283, -0.9702184071910239, -1.1022797415725833, -1.4760797706079885, -0.024409811151157663, 1.1508055104527446, 0.951099718895657, 1.5772207305331154, -1.745989916916997, -0.8196007336469305, -0.5644912421680383, -1.1275463740214426, 0.42447168168802174, 0.6331717716628209, 1.0704183455321776, 0.5891841073319839, -2.0523988900738517, 1.4758713636857121, 0.9805329212954437, -0.1124961186602809, 1.7719806252426626, 0.7610718167125735, 1.4279665898554321, -0.433708123471025, -1.0031858172336288, -0.5796376223696058]","[2, 0, 0, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 0, 0, 0, 1, 2, 2, 0, 0, 1, 0, 0, 2, 2, 2, 1, 0, 1, 0, 1, 0, 0, 2, 1, 1, 0, 2, 1, 1, 1, 2, 0, 1, 2, 2, 2, 0, 0, 2, 1, 1, 0, 1, 1, 2, 1, 0, 2, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0, 2, 1, 2, 2, 2, 0, 2, 0, 1, 0, 1, 2, 2, 2, 0, 1, 0, 2, 2, 2, 1, 0, 1, 1, 2, 1, 1, 1]"
